,id,title,authors,paper,presentation,best,theme,abstract
0,2,Transatlantic Approaches for Automatic Speech Understanding in Air Traffic Management,"Hartmut Helmke, Shuo Chen, Oliver Ohneiser, Hunter Kopald, Robert M. Tarakan and Matthias Kleinert",/seminarContent/seminar15/papers/ATM2023_paper_2.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_2.pdf,,Human factors,
1,4,Automatic Speech Recognition and Understanding for Radar  Label Maintenance Support Increases Safety and Reduces Air Traffic Controllers’ Workload,"Hartmut Helmke, Matthias Kleinert, Nils Ahrenhold, Heiko Ehr, Thorsten Mühlhausen, Oliver Ohneiser, Lucas Klamert, Petr Motlicek, Amrutha Prasad, Juan Pablo Zuluaga-Gomez, Jelena Dokic and Ella Pinska Chauvin",/seminarContent/seminar15/papers/ATM2023_paper_4.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_4.pdf,,Human factors,
2,10,Potential of United States and European Regional Air Cargo Operations for Uncrewed Aircraft Systems,"Jordan Sakakeeny, Tim Felix Sievers and Husni Idris",/seminarContent/seminar15/papers/ATM2023_paper_10.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_10.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
3,13,Airspace Design Proposal for Efficient Flight Operations in North Pacific Oceanic Airspace,"Hiroko Hirabayashi, Mark Brown and Noboru Takeichi",/seminarContent/seminar15/papers/ATM2023_paper_13.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_13.pdf,,"4-D Trajectory planning, prediction, and management",
4,16,Collision Risk Assessment in Terminal Manoeuvring Areas based on Trajectory Generation Methods,"Timothé Krauth, Benoit Figuet, Xavier Olive and Jérôme Morio",/seminarContent/seminar15/papers/ATM2023_paper_16.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_16.pdf,,Separation assurance and safety nets,
5,17,Determinants of Performance in European ATM - How to Analyze a Diverse Industry,"Thomas Standfuss, Hartmut Fricke, Georg Hirte and Frank Fichert",/seminarContent/seminar15/papers/ATM2023_paper_17.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_17.pdf,,"Economics, finance and policy",
6,18,Looking for the best flight efficiency indicators for arrivals,Pierrick Pasutto and Karim Zeghal,/seminarContent/seminar15/papers/ATM2023_paper_18.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_18.pdf,,ATM performance measurement and management,
7,19,Quantitative air risk assessment for a drone inspection mission along fast-train lines,"Xavier Olive, Patrick Le Blaye, Leonid Senov and Timothé Krauth",/seminarContent/seminar15/papers/ATM2023_paper_19.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_19.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
8,20,Estimating the impact of increasing Pilot-Applied Separation on Approach,"Dan Howell, Jennifer King, Lynn Tran, Alejandro Rodriguez and Doug Arbuckle",/seminarContent/seminar15/papers/ATM2023_paper_20.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_20.pdf,,ATM performance measurement and management,
9,21,Towards Multi-Aircraft Transfer Learning for Trajectory Tracking,"Almudena Buelta, Alberto Olivares and Ernesto Staffetti",/seminarContent/seminar15/papers/ATM2023_paper_21.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_21.pdf,,"4-D Trajectory planning, prediction, and management",
10,22,Reducing CO2 emissions of arrivals by acting on departure times  : A perspective for 30 European airports,"Raphaël Christien, Karim Zeghal and Bruno Favennec",/seminarContent/seminar15/papers/ATM2023_paper_22.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_22.pdf,,Air traffic flow management and optimization,
11,23,Operational Live-Trial for Contrail Prevention at the  Maastricht Upper Area Control during 2021 - Can persistent contrails be avoided in the real world?,"Rüdiger Ehrmanntraut, Ilona Sitova, Kacper Walczak, Anja Burridge-Diesing, Milena Bowman, Nicholas Miller, Robert Sausen, Klaus Gierens, Luca Bugliaro and Sina Hofer",/seminarContent/seminar15/papers/ATM2023_paper_23.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_23.pdf,,Environment and energy efficiency,
12,24,Probabilistic Pre-tactical Arrival and Departure Flight Delay Prediction with Quantile Regression,"Ramon Dalmau, Paolino De Falco, Miroslav Spak and Jose Daniel Rodríguez Varela",/seminarContent/seminar15/papers/ATM2023_paper_24.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_24.pdf,,Integrated airport/airside operations,
13,25,Teaching Artificial Intelligence Good Air Traffic Flow Management,"Christine Taylor, Erik Vargo, Tyler Manderfield and Simon Heitin",/seminarContent/seminar15/papers/ATM2023_paper_25.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_25.pdf,,Air traffic flow management and optimization,
14,26,Risk-Adjusted Traffic Management Strategies for Convective Weather Conditions,James Jones and Zachary Ellenbogen,/seminarContent/seminar15/papers/ATM2023_paper_26.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_26.pdf,,Weather in ATM,
15,27,Market Structures for Service Providers in Advanced Air Mobility,"Victor Qin, Geoffrey Ding and Hamsa Balakrishnan",/seminarContent/seminar15/papers/ATM2023_paper_27.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_27.pdf,,"Economics, finance and policy",
16,29,STL combining LSTM for long-term predicting airport traffic flow,"Ziming Wang, Yanjun Wang, Yaoshuai Zhao, Mark Hansen and Daniel Delahaye",/seminarContent/seminar15/papers/ATM2023_paper_29.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_29.pdf,,Air traffic flow management and optimization,
17,30,Data-Driven Airborne Collision Risk Modelling using a Probability Density Function,"Benoit Figuet, Raphael Monstein and Steven Barry",/seminarContent/seminar15/papers/ATM2023_paper_30.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_30.pdf,,Separation assurance and safety nets,
18,31,Designing a Framework of Integrated Aircraft Departure and Surface Traffic Operation via Queuing Network Models,Eri Itoh and Michael Schultz,/seminarContent/seminar15/papers/ATM2023_paper_31.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_31.pdf,,Integrated airport/airside operations,
19,33,Implementation of Long-Range Air Traffic Flow Management at Large Hub Airports: An International Perspective,"Gabriele Enea, Adriana Andreeva-Mori, Jesper Bronsvoort, Joachim Hochwarth, Tom Reynolds and Masahide Onji",/seminarContent/seminar15/papers/ATM2023_paper_33.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_33.pdf,,Air traffic flow management and optimization,
20,34,Evaluation of Convective Weather Impacts on US and European Airports,"Gabriele Enea, Alexander Lau, Tom Reynolds, Margo Pawlak, Dave Knorr, Stefan Schwanke, Sanjay Dussoye, Peter Roth and Martin Durbin",/seminarContent/seminar15/papers/ATM2023_paper_34.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_34.pdf,,Weather in ATM,
21,35,Enhancing environmental sustainability in aviation: an implementation of contrail mitigation strategies in commercial flight dispatching,"Alejandra Martin Frias, Raimund Zopp and Manuel Soler",/seminarContent/seminar15/papers/ATM2023_paper_35.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_35.pdf,,Environment and energy efficiency,
22,37,Area Navigation Terminal Airspace Complexity Estimation for Arrivals,"Chuhao Deng, Hong-Cheol Choi, Hyunsang Park and Inseok Hwang",/seminarContent/seminar15/papers/ATM2023_paper_37.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_37.pdf,,ATM performance measurement and management,
23,38,The Curse of the Time Horizon in Detect & Avoid Algorithms,"David Gianazza, Richard Alligier and Nicolas Durand",/seminarContent/seminar15/papers/ATM2023_paper_38.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_38.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
24,40,Learning uncertainty parameters for assistance in conflict resolution,"Sarah Degaugue, Yash Guleria, Richard Alligier, Jean-Baptiste Gotteland and Nicolas Durand",/seminarContent/seminar15/papers/ATM2023_paper_40.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_40.pdf,,Separation assurance and safety nets,
25,42,Optimizing Global Flight Altitudes for Contrail Reduction: Insights from Open Flight and Weather Balloon Data,"Esther Roosenbrand, Junzi Sun and Jacco Hoekstra",/seminarContent/seminar15/papers/ATM2023_paper_42.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_42.pdf,,Environment and energy efficiency,
26,45,Dynamic Air Traffic Flow Coordination for Flow-centric Airspace Management,"Chunyao Ma, Sameer Alam, Qing Cai and Daniel Delahaye",/seminarContent/seminar15/papers/ATM2023_paper_45.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_45.pdf,,Air traffic flow management and optimization,
27,48,Time of the Day-dependent impact of Contrail Avoidance Strategies on Airline Delay Costs,"Judith Rosenow, Hartmut Fricke and Lance Sherry",/seminarContent/seminar15/papers/ATM2023_paper_48.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_48.pdf,,Environment and energy efficiency,
28,49,Contributing Factors to Flight-Centric Complexity in En-Route Air Traffic Control,"Gijs de Rooij, Amber Stienstra, Clark Borst, Adam B. Tisza, Marinus M. van Paassen and Max Mulder",/seminarContent/seminar15/papers/ATM2023_paper_49.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_49.pdf,,Human factors,
29,51,Estimating Wind Fields Using Physically Inspired Neural Networks With Aircraft Surveillance Data,"Jari Malfliet, Junzi Sun and Jacco Hoekstra",/seminarContent/seminar15/papers/ATM2023_paper_51.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_51.pdf,,Weather in ATM,
30,54,Machine Learning to Predict Convective Weather and its Impact on En-Route Capacity,"Marta Sánchez-Cidoncha, Danlin Zheng, Pablo Gil, Gilles Gawinowski, Ramón Dalmau, Manuel Soler, Javier García-Heras, Iván Martínez and Aniel Jardines",/seminarContent/seminar15/papers/ATM2023_paper_54.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_54.pdf,,Weather in ATM,
31,55,Data-Driven Approach for Runway Braking Condition Assessment with Forecasting Capability,Marek Travnik and R. John Hansman,/seminarContent/seminar15/papers/ATM2023_paper_55.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_55.pdf,,Integrated airport/airside operations,
32,57,Performance Characterization of Arrival Operations with Point Merge at Oslo Gardermoen Airport,"Polishchuk Tatiana, Henrik Hardell, Anastasia Lemetti and Lucie Smetanová",/seminarContent/seminar15/papers/ATM2023_paper_57.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_57.pdf,,ATM performance measurement and management,
33,58,Multiple Aircraft in a multi-criteria Trajectory Optimization,"Judith Rosenow, Thomas Zeh, Martin Lindner, Stanley Förster and Hartmut Fricke",/seminarContent/seminar15/papers/ATM2023_paper_58.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_58.pdf,,Air traffic flow management and optimization,
34,59,Airside Surveillance by Computer Vision in Low-Visibility and Low-Fidelity Environment,"Phat Thai, Sameer Alam and Nimrod Lilith",/seminarContent/seminar15/papers/ATM2023_paper_59.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_59.pdf,,"Advanced communication, surveillance and navigation",
35,62,Slot allocation for a Multiple Airport System: Equity and Efficiency,"Mengyin Wang, Yanjun Wang, Daniel Delahaye, Chaohao Liao and Xu Hang",/seminarContent/seminar15/papers/ATM2023_paper_62.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_62.pdf,,Air traffic flow management and optimization,
36,63,Remote Identification Trajectory Coverage in Urban Air Mobility Applications,"Hejun Huang, Billy Mazotti, Joseph Kim and Max Z. Li",/seminarContent/seminar15/papers/ATM2023_paper_63.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_63.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
37,64,Debuffering Timestamped ADS-B Records for Kinematic Applications,"Zhuoxuan Cao, David Lovell, Aishwarya Bokil and Seth Young",/seminarContent/seminar15/papers/ATM2023_paper_64.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_64.pdf,,"Advanced communication, surveillance and navigation",
38,68,Strategic Planning of Aerial Assets for Disaster Response: Enabling Efficient and Equitable Access to Drone-Based Search Resources,"Christopher Chin, Akila Saravanan, Hamsa Balakrishnan and Adriana Andreeva-Mori",/seminarContent/seminar15/papers/ATM2023_paper_68.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_68.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
39,69,Cleared to Land - A Multi-view Vision-based Deep Learning Approach for Distance-to-Touch Down Prediction,"Duc-Thinh Pham, Gabriel James Goenawan, Sameer Alam and Rainer Koelle",/seminarContent/seminar15/papers/ATM2023_paper_69.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_69.pdf,,"Advanced communication, surveillance and navigation",
40,70,UAV Scheduling Strategies and Benefits in Multi-modal Last-Mile Urban Parcel Delivery,"Ang Li, Mark Hansen and Bo Zou",/seminarContent/seminar15/papers/ATM2023_paper_70.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_70.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
